epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,273.855,0.63062,1.09236,0.84465,0.90093,0.7,0.79662,0.7102,0.53594,0.98966,0.83525,0.000426462,0.000426462,0.000426462
113,276.399,0.57556,0.90024,0.87646,0.90093,0.7,0.79662,0.7102,0.53594,0.98966,0.83525,0.000425006,0.000425006,0.000425006
114,278.979,0.65566,1.12859,0.85612,0.47201,0.9296,0.80558,0.71962,0.55566,1.00417,0.84101,0.000423551,0.000423551,0.000423551
115,281.361,0.57285,0.90118,0.84713,0.47201,0.9296,0.80558,0.71962,0.55566,1.00417,0.84101,0.000422096,0.000422096,0.000422096
116,283.782,0.58959,1.03219,0.8588,0.48002,0.83234,0.74865,0.6634,0.5781,1.0377,0.84506,0.00042064,0.00042064,0.00042064
117,286.143,0.58213,0.958,0.84591,0.48002,0.83234,0.74865,0.6634,0.5781,1.0377,0.84506,0.000419185,0.000419185,0.000419185
118,288.621,0.57781,0.91465,0.84526,0.6583,0.75,0.77662,0.69975,0.57294,1.06568,0.84283,0.00041773,0.00041773,0.00041773
119,291.121,0.54373,0.82314,0.85711,0.6583,0.75,0.77662,0.69975,0.57294,1.06568,0.84283,0.000416275,0.000416275,0.000416275
120,293.543,0.5792,0.8411,0.84013,0.83808,0.73661,0.79308,0.72771,0.55239,1.06918,0.83643,0.000414819,0.000414819,0.000414819
121,295.987,0.52459,0.90292,0.83632,0.83808,0.73661,0.79308,0.72771,0.55239,1.06918,0.83643,0.000413364,0.000413364,0.000413364
122,298.546,0.5814,0.84674,0.81636,0.8997,0.693,0.79308,0.74106,0.53208,1.08465,0.83173,0.000411909,0.000411909,0.000411909
123,301.037,0.55946,0.91217,0.87219,0.8997,0.693,0.79308,0.74106,0.53208,1.08465,0.83173,0.000410453,0.000410453,0.000410453
124,303.574,0.56891,0.86518,0.84493,0.90318,0.67574,0.83421,0.7512,0.53362,1.07106,0.83454,0.000408998,0.000408998,0.000408998
