epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,157.278,0.80705,1.16468,0.90017,0.71404,0.83333,0.87028,0.70499,0.66112,1.04564,0.84887,0.000682498,0.000682498,0.000682498
75,159.39,0.73701,1.24779,0.88381,0.71404,0.83333,0.87028,0.70499,0.66112,1.04564,0.84887,0.000680436,0.000680436,0.000680436
76,161.494,0.7395,1.09532,0.91175,0.80955,0.88303,0.93944,0.77005,0.63069,1.01328,0.84787,0.000678374,0.000678374,0.000678374
77,163.623,0.87656,1.17542,0.8849,0.80955,0.88303,0.93944,0.77005,0.63069,1.01328,0.84787,0.000676313,0.000676313,0.000676313
78,165.75,0.79745,1.12406,0.88115,0.83645,0.88453,0.93944,0.78878,0.59242,0.99929,0.83821,0.000674251,0.000674251,0.000674251
79,167.884,0.84863,1.13498,0.88063,0.83645,0.88453,0.93944,0.78878,0.59242,0.99929,0.83821,0.000672189,0.000672189,0.000672189
80,170.051,0.85102,1.36246,0.89971,0.75297,0.96611,0.93972,0.80012,0.59543,1.10753,0.84124,0.000670128,0.000670128,0.000670128
81,172.307,0.69559,1.28098,0.90753,0.75297,0.96611,0.93972,0.80012,0.59543,1.10753,0.84124,0.000668066,0.000668066,0.000668066
82,174.477,0.84884,1.24519,0.88138,0.72884,0.97942,0.93972,0.78905,0.70257,1.22499,0.85791,0.000666004,0.000666004,0.000666004
83,176.533,0.83175,1.33879,0.87929,0.72884,0.97942,0.93972,0.78905,0.70257,1.22499,0.85791,0.000663943,0.000663943,0.000663943
84,178.733,0.63804,1.40187,0.92449,0.6523,1,0.93972,0.77937,0.71033,1.28125,0.85567,0.000661881,0.000661881,0.000661881
85,180.725,0.90417,1.5589,0.92108,0.6523,1,0.93972,0.77937,0.71033,1.28125,0.85567,0.000659819,0.000659819,0.000659819
86,182.794,0.72886,1.04815,0.89364,0.77155,0.97558,0.93972,0.79186,0.68218,1.19791,0.8632,0.000657758,0.000657758,0.000657758
87,184.861,0.59713,1.05122,0.88989,0.77155,0.97558,0.93972,0.79186,0.68218,1.19791,0.8632,0.000655696,0.000655696,0.000655696
88,186.968,0.78525,1.14204,0.86782,0.85836,0.94739,0.96722,0.79718,0.70447,1.06413,0.85258,0.000653634,0.000653634,0.000653634
89,189.073,0.70965,1.07575,0.88237,0.85836,0.94739,0.96722,0.79718,0.70447,1.06413,0.85258,0.000651573,0.000651573,0.000651573
90,191.215,0.65943,1.13548,0.89414,0.88648,0.96249,0.995,0.80834,0.70645,0.94348,0.85022,0.000649511,0.000649511,0.000649511
91,193.315,0.74324,1.03872,0.88035,0.88648,0.96249,0.995,0.80834,0.70645,0.94348,0.85022,0.000647449,0.000647449,0.000647449
92,195.441,0.74196,0.98893,0.88102,0.94544,0.95724,0.995,0.82078,0.67767,0.89988,0.85137,0.000645388,0.000645388,0.000645388
93,197.59,0.62931,0.92733,0.86653,0.94544,0.95724,0.995,0.82078,0.67767,0.89988,0.85137,0.000643326,0.000643326,0.000643326
94,199.713,0.74423,1.19871,0.83762,0.94735,0.95441,0.995,0.84152,0.72239,1.10556,0.86661,0.000641264,0.000641264,0.000641264
95,201.883,0.78752,1.24915,0.9118,0.94735,0.95441,0.995,0.84152,0.72239,1.10556,0.86661,0.000639203,0.000639203,0.000639203
96,204.05,0.72807,1.2596,0.86273,0.83467,0.99724,0.96722,0.78296,0.7411,1.19454,0.86095,0.000637141,0.000637141,0.000637141
97,206.257,0.77655,1.20795,0.86835,0.83467,0.99724,0.96722,0.78296,0.7411,1.19454,0.86095,0.000635079,0.000635079,0.000635079
98,208.454,0.80943,1.03861,0.8924,0.94046,0.97505,0.995,0.83734,0.64676,0.97247,0.83691,0.000633018,0.000633018,0.000633018
99,210.567,0.70972,1.05668,0.85811,0.94046,0.97505,0.995,0.83734,0.64676,0.97247,0.83691,0.000630956,0.000630956,0.000630956
100,212.666,0.73518,1.24537,0.86742,0.87214,0.96489,0.995,0.86227,0.6303,0.91627,0.83682,0.000628894,0.000628894,0.000628894
101,214.746,0.77844,1.01065,0.93032,0.87214,0.96489,0.995,0.86227,0.6303,0.91627,0.83682,0.000626832,0.000626832,0.000626832
102,216.939,0.72274,1.14018,0.88383,0.85153,0.94361,0.995,0.83325,0.6105,0.92188,0.83122,0.000624771,0.000624771,0.000624771
103,219.034,0.61978,0.90246,0.85278,0.85153,0.94361,0.995,0.83325,0.6105,0.92188,0.83122,0.000622709,0.000622709,0.000622709
104,221.155,0.65887,1.11386,0.88247,0.89101,0.92813,0.995,0.87475,0.56779,0.86368,0.82491,0.000620647,0.000620647,0.000620647
105,223.193,0.66942,0.99905,0.85579,0.89101,0.92813,0.995,0.87475,0.56779,0.86368,0.82491,0.000618586,0.000618586,0.000618586
106,225.307,0.77697,1.07789,0.82595,0.96034,0.9267,0.995,0.90379,0.51412,0.83618,0.82507,0.000616524,0.000616524,0.000616524
107,227.404,0.87262,1.04653,0.83763,0.96034,0.9267,0.995,0.90379,0.51412,0.83618,0.82507,0.000614462,0.000614462,0.000614462
108,229.614,0.79438,1.01701,0.86543,0.95255,0.95828,0.995,0.8913,0.55813,0.80409,0.84021,0.000612401,0.000612401,0.000612401
109,231.739,0.74605,0.90334,0.95851,0.95255,0.95828,0.995,0.8913,0.55813,0.80409,0.84021,0.000610339,0.000610339,0.000610339
110,233.85,0.69565,0.88804,0.9178,0.94975,0.98079,0.995,0.88713,0.59459,0.77645,0.84306,0.000608277,0.000608277,0.000608277
111,235.914,0.60768,1.24841,0.9416,0.94975,0.98079,0.995,0.88713,0.59459,0.77645,0.84306,0.000606216,0.000606216,0.000606216
112,238.016,0.68019,0.8261,0.88924,0.94193,1,0.995,0.86638,0.59364,0.78108,0.83785,0.000604154,0.000604154,0.000604154
113,240.112,0.77131,1.03158,0.96587,0.94193,1,0.995,0.86638,0.59364,0.78108,0.83785,0.000602092,0.000602092,0.000602092
114,242.302,0.69437,0.95423,0.89565,0.89813,0.98756,0.995,0.86228,0.56031,0.77479,0.83922,0.000600031,0.000600031,0.000600031
115,244.426,0.74013,1.11766,0.84288,0.89813,0.98756,0.995,0.86228,0.56031,0.77479,0.83922,0.000597969,0.000597969,0.000597969
116,246.518,0.67922,0.87516,0.87814,0.88526,0.97369,0.995,0.88302,0.49866,0.81248,0.82536,0.000595907,0.000595907,0.000595907
117,248.61,0.66671,1.03153,0.87471,0.88526,0.97369,0.995,0.88302,0.49866,0.81248,0.82536,0.000593846,0.000593846,0.000593846
